id,name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,preview_url,isrc,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features_fetched_at,created_at,updated_at,deezer_track_id,apple_track_id,mb_recording_mbid,gain,genre_primary,genre_tags,derived_valence,derived_energy,last_enriched_at,meta_provider,bpm,artist_name,album_image_url
00v2tOidHdS70IEOQC6wTo,All The Way,,Like No 1 Else,,392580,,false,,DEZC62282041,https://i.scdn.co/image/ab67616d0000b2733d5c0a6bceaa248be2971f67,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,1903901237,,,-11.6,Electro,"[""house"",""electro"",""deep house"",""Electro""]",,0.7,2025-09-07 19:41:57.918+00,"{""spotify_track"": true}",0,Júlio Cruz,https://i.scdn.co/image/ab67616d0000b2733d5c0a6bceaa248be2971f67
02evyVGKt4jjuBAlgHzag5,Back At Ya,,Back At Ya,,234500,,false,,QZQAY2508769,https://i.scdn.co/image/ab67616d0000b27362ee3f2f4b8e7500ee956c5b,,,,,,,,,,,0.000,,,2025-09-10 21:45:18.335988+00,2025-09-10 21:45:18.335988+00,3403103301,,,-11.1,Electro,"[""house"",""Electro"",""Dance""]",,0.7,2025-09-12 18:32:38.84+00,"{""spotify_track"": true}",0,Robbie Doherty,https://i.scdn.co/image/ab67616d0000b27362ee3f2f4b8e7500ee956c5b
06AXrhmbIFTb5iujh2dYyq,Submission - L.P. Rhythm Remix,,Submission,,221890,,false,,GBKQU2431524,https://i.scdn.co/image/ab67616d0000b27361dae4100cc8f05524fa9f07,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,2728716501,,,-9.5,Electro,"[""the voice"",""the voice uk"",""Electro"",""Techno/House""]",,,2025-09-09 22:27:31.213+00,"{""spotify_track"": true}",0,"Liam Palmer, Elliot Schooling, Gabrielle Alexis, L.P. Rhythm",https://i.scdn.co/image/ab67616d0000b27361dae4100cc8f05524fa9f07
09FhTsmePmERV5mWBpYBOH,"Please, Stay",,Fair,,605000,,false,,FR10S1954595,https://i.scdn.co/image/ab67616d0000b273bf9eef6177c71f3972d09d0c,0.858,0.498,0,-12.867,1,0.060,0.016,0.91500,0.110,0.174,0.000,,2025-09-13 18:34:06.292+00,2025-09-13 18:30:02.886268+00,2025-09-13 18:30:02.886268+00,633724782,,,-11.7,Electro,"[""house"",""deep house"",""outsider house"",""lo-fi house"",""electronic"",""Electro"",""Techno/House"",""Dance""]",,0.7,2025-09-13 18:37:27.299+00,"{""spotify_track"": true}",0,Matthieu Faubourg,https://i.scdn.co/image/ab67616d0000b273bf9eef6177c71f3972d09d0c
0cC7TEZ5ZB0IZ9iRMYW13X,SeeSaw - Club Version,,SeeSaw (Club Version),,341760,,false,,GBBKS1600003,https://i.scdn.co/image/ab67616d0000b273e77db89a3968a808981772f3,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,138546609,,,-10.3,Electro,"[""house"",""electronic"",""pop"",""electropop"",""dance-pop"",""deep house"",""dance"",""synthpop"",""Electro""]",0.7,0.667,2025-09-09 22:27:34.985+00,"{""spotify_track"": true}",0,"Jamie xx, Four Tet, Romy",https://i.scdn.co/image/ab67616d0000b273e77db89a3968a808981772f3
0dmeBl3THoDOlDwWLBT9jy,In Da Q,,In Da Q,,233798,,false,,FR9W12323352,https://i.scdn.co/image/ab67616d0000b2732ba586a8007a52a88632c9e0,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,2306387705,,,-8.8,Electro,"[""house"",""deep house"",""lofi house"",""lo-fi house"",""Electro"",""Techno/House"",""Dance""]",,0.7,2025-09-07 19:41:54.759+00,"{""spotify_track"": true}",0,DATSKO,https://i.scdn.co/image/ab67616d0000b2732ba586a8007a52a88632c9e0
0eEYax5zHz46XYmD0RJdx6,Strobe - Club Edit,,Strobe,,381380,,false,,GBTDG0900153,https://i.scdn.co/image/ab67616d0000b273ac4c76801e5286f371b5f4b1,,,,,,,,,,,128.000,,,2025-09-10 21:45:18.335988+00,2025-09-10 21:45:18.335988+00,5150300,,,-10.1,Dance,"[""progressive house"",""house"",""electronic"",""electro house"",""electro"",""minimal"",""tech house"",""cinematic classical"",""Dance""]",,0.7,2025-09-12 18:32:39.931+00,"{""spotify_track"": true}",128,deadmau5,https://i.scdn.co/image/ab67616d0000b273ac4c76801e5286f371b5f4b1
0gN3qt7sYGHC3q21osirSa,Introvert,,Risk Taker EP,,241511,,false,,GBKQU2368903,https://i.scdn.co/image/ab67616d0000b273f6017b526e97f95bc9502104,0.799,0.818,11,-8.842,0,0.043,0.005,0.92200,0.098,0.886,129.000,,2025-09-13 18:34:52.898+00,2025-09-12 18:32:36.299244+00,2025-09-12 18:32:36.299244+00,2371354945,,,-9.5,Electro,"[""house"",""dutch"",""deep house"",""Electro"",""Techno/House""]",,0.7,2025-09-12 19:58:27.177+00,"{""spotify_track"": true}",129,Marsolo,https://i.scdn.co/image/ab67616d0000b273f6017b526e97f95bc9502104
0q6l4RyYEVNs7qqjsn734J,Amygdala,,Amygdala,,323526,,false,,QZH9R1900001,https://i.scdn.co/image/ab67616d0000b27370f16b6e848fb8e55bde6370,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,2204598017,,,-9.8,Electro,"[""outsider house"",""deep house"",""house"",""electronic"",""electro"",""belgium"",""lo-fi"",""breakbeat"",""Electro"",""Rap/Hip Hop""]",,0.475,2025-09-07 19:41:58.268+00,"{""spotify_track"": true}",0,Supreems,https://i.scdn.co/image/ab67616d0000b27370f16b6e848fb8e55bde6370
0QyTqFRTXonHN7OqK29eG4,Nightmare - Edit,,Nightmare,,219718,,false,,GBKQU2503381,https://i.scdn.co/image/ab67616d0000b2738ff04af84ad67d9ee9138abd,,,,,,,,,,,0.000,,,2025-09-08 20:44:04.208472+00,2025-09-08 20:44:04.208472+00,3185552991,,,-7.4,Electro,"[""Electro"",""Techno/House""]",,,2025-09-08 23:30:23.861+00,"{""spotify_track"": true}",0,"909 RACING TEAM, Domenik Deckert, Mike Momburg",https://i.scdn.co/image/ab67616d0000b2738ff04af84ad67d9ee9138abd
